code,value
1,100
1.1,100
1.2,100
1.3,100
1.4,100
1.5,100
1.6,100
1.7,100
1.8,100
1.9,100
2,200
2.1,200
2.2,200
3,300
3.1,300
3.2,300
3.3,300
3.4,300
3.5,300
3.6,300
3.7,300
3.8,300
4,400
4.1,400
4.2,400
4.3,400
4.4,400
4.5,400
4.6,400
4.7,400
5,500
5.1,500
5.2,500
5.3,500
5.4,500
5.5,500
5.6,500
5.7,500
5.8,500
5.9,500
5.10,500
5.11,500
5.12,500
5.13,500
5.14,500
5.15,500
5.16,500
5.17,500
5.18,500
6,600
7,700
7.1,700
7.2,700
8,800
8.1,800
8.2,800
8.3,800
9,900
9.1,900
9.2,900
9.3,900
9.4,900
9.5,900
9.6,900
9.7,900
9.8,900
9.8.1,900
9.8.2,900
9.8.3,900
9.8.4,900
9.8.5,900
9.8.6,900
9.9,900
9.10,900
10,1000
10.1,1000
10.2,1000
10.3,1000
10.4,1000
11,1100
11.1,1100
11.1.1,1100
11.2,1100
11.1.2,1100
11.3,1100
11.4,1100
11.5,1100
11.6,1100
12,1200
12.1,1200
12.2,1200
12.3,1200
12.4,1200
12.5,1200
12.6,1200
12.7,1200
13,1300
13.1,1300
13.2,1300
13.3,1300
13.4,1300
13.5,1300
14,1400
14.1,1400
14.2,1400
14.3,1400
14.4,1400
14.5,1400
14.6,1400
15,1500
15.1,1500
15.2,1500
15.3,1500
15.4,1500
15.5,1500
15.6,1500
15.7,1500
15.8,1500
15.9,1500
15.10,1500
15.11,1500
15.12,1500
15.13,1500
16,1600
17,1700
18,1800
