code,value
1,100
1.1,100
1.2,100
1.3,100
1.4,100
1.5,100
1.6,100
1.7,100
1.8,100
1.9,100
1,110
1.1,110
1.2,110
1.3,110
1.4,110
1.5,110
1.6,110
1.7,110
1.8,110
1.9,110
1,120
1.1,120
1.2,120
1.3,120
1.4,120
1.5,120
1.6,120
1.7,120
1.8,120
1.9,120
2,20
2.1,20
2.2,20
2,70
2.1,70
2.2,70
2,120
2.1,120
2.2,120
3,20
3.1,20
3.2,20
3.3,20
3.4,20
3.5,20
3.6,20
3.7,20
3.8,20
3,60
3.1,60
3.2,60
3.3,60
3.4,60
3.5,60
3.6,60
3.7,60
3.8,60
4,30
4.1,30
4.2,30
4.3,30
4.4,30
4.5,30
4.6,30
4.7,30
4,40
4.1,40
4.2,40
4.3,40
4.4,40
4.5,40
4.6,40
4.7,40
5,40
5.1,40
5.2,40
5.3,40
5.4,40
5.5,40
5.6,40
5.7,40
5.8,40
5.9,40
5.10,40
5.11,40
5.12,40
5.13,40
5.14,40
5.15,40
5.16,40
5.17,40
5.18,40
5,80
5.1,80
5.2,80
5.3,80
5.4,80
5.5,80
5.6,80
5.7,80
5.8,80
5.9,80
5.1,80
5.11,80
5.12,80
5.13,80
5.14,80
5.15,80
5.16,80
5.17,80
5.18,80
5,90
5.1,90
5.2,90
5.3,90
5.4,90
5.5,90
5.6,90
5.7,90
5.8,90
5.9,90
5.10,90
5.11,90
5.12,90
5.13,90
5.14,90
5.15,90
5.16,90
5.17,90
5.18,90
6,60
6,110
6,120
8,20
8.1,20
8.2,20
8.3,20
8,60
8.1,60
8.2,60
8.3,60
14.1,40
14.2,40
14.4,50
14.5,50
15,90
15.1,90
15.2,90
15.3,90
15.4,90
15.5,90
15.6,90
15.7,90
15.8,90
15.9,90
15.10,90
15.11,90
15.12,90
15.13,90
