code,name,is_terrestrial,is_marine,is_artificial,is_misc,is_introduced
1,Forest,TRUE,FALSE,FALSE,FALSE,FALSE
1.1,Forest - Boreal,TRUE,FALSE,FALSE,FALSE,FALSE
1.2,Forest - Subarctic,TRUE,FALSE,FALSE,FALSE,FALSE
1.3,Forest - Subantarctic,TRUE,FALSE,FALSE,FALSE,FALSE
1.4,Forest - Temperate,TRUE,FALSE,FALSE,FALSE,FALSE
1.5,Forest - Subtropical/tropical dry,TRUE,FALSE,FALSE,FALSE,FALSE
1.6,Forest - Subtropical/tropical moist lowland,TRUE,FALSE,FALSE,FALSE,FALSE
1.7,Forest - Subtropical/tropical mangrove vegetation above high tide level,TRUE,FALSE,FALSE,FALSE,FALSE
1.8,Forest - Subtropical/tropical swamp,TRUE,FALSE,FALSE,FALSE,FALSE
1.9,Forest - Subtropical/tropical moist montane,TRUE,FALSE,FALSE,FALSE,FALSE
2,Savanna,TRUE,FALSE,FALSE,FALSE,FALSE
2.1,Savanna - Dry,TRUE,FALSE,FALSE,FALSE,FALSE
2.2,Savanna - Moist,TRUE,FALSE,FALSE,FALSE,FALSE
3,Shrubland,TRUE,FALSE,FALSE,FALSE,FALSE
3.1,Shrubland - Subarctic,TRUE,FALSE,FALSE,FALSE,FALSE
3.2,Shrubland - Subantarctic,TRUE,FALSE,FALSE,FALSE,FALSE
3.3,Shrubland - Boreal,TRUE,FALSE,FALSE,FALSE,FALSE
3.4,Shrubland - Temperate,TRUE,FALSE,FALSE,FALSE,FALSE
3.5,Shrubland - Subtropical/tropical dry,TRUE,FALSE,FALSE,FALSE,FALSE
3.6,Shrubland - Subtropical/tropical moist,TRUE,FALSE,FALSE,FALSE,FALSE
3.7,Shrubland - Subtropical/tropical high altitude,TRUE,FALSE,FALSE,FALSE,FALSE
3.8,Shrubland - Mediterranean-type shrubby vegetation,TRUE,FALSE,FALSE,FALSE,FALSE
4,Grassland,TRUE,FALSE,FALSE,FALSE,FALSE
4.1,Grassland - Tundra,TRUE,FALSE,FALSE,FALSE,FALSE
4.2,Grassland - Subarctic,TRUE,FALSE,FALSE,FALSE,FALSE
4.3,Grassland - Subantarctic,TRUE,FALSE,FALSE,FALSE,FALSE
4.4,Grassland - Temperate,TRUE,FALSE,FALSE,FALSE,FALSE
4.5,Grassland - Subtropical/tropical dry,TRUE,FALSE,FALSE,FALSE,FALSE
4.6,Grassland - Subtropical/tropical seasonally wet/flooded,TRUE,FALSE,FALSE,FALSE,FALSE
4.7,Grassland - Subtropical/tropical high altitude,TRUE,FALSE,FALSE,FALSE,FALSE
5,Wetlands (inland),TRUE,FALSE,FALSE,FALSE,FALSE
5.1,Wetlands (inland) - Permanent rivers/streams/creeks (includes waterfalls),TRUE,FALSE,FALSE,FALSE,FALSE
5.2,Wetlands (inland) - Seasonal/intermittent/irregular rivers/streams/creeks,TRUE,FALSE,FALSE,FALSE,FALSE
5.3,Wetlands (inland) - Shrub dominated wetlands,TRUE,FALSE,FALSE,FALSE,FALSE
5.4,"Wetlands (inland) - Bogs, marshes, swamps, fens, peatlands",TRUE,FALSE,FALSE,FALSE,FALSE
5.5,Wetlands (inland) - Permanent freshwater lakes (over 8 ha),TRUE,FALSE,FALSE,FALSE,FALSE
5.6,Wetlands (inland) - Seasonal/intermittent freshwater lakes (over 8 ha),TRUE,FALSE,FALSE,FALSE,FALSE
5.7,Wetlands (inland) - Permanent freshwater marshes/pools (under 8 ha),TRUE,FALSE,FALSE,FALSE,FALSE
5.8,Wetlands (inland) - Seasonal/intermittent freshwater marshes/pools (under 8 ha),TRUE,FALSE,FALSE,FALSE,FALSE
5.9,Wetlands (inland) - Freshwater springs and oases,TRUE,FALSE,FALSE,FALSE,FALSE
5.1,Wetlands (inland) - Tundra wetlands (inc. pools and temporary waters from snowmelt),TRUE,FALSE,FALSE,FALSE,FALSE
5.11,Wetlands (inland) - Alpine wetlands (inc. temporary waters from snowmelt),TRUE,FALSE,FALSE,FALSE,FALSE
5.12,Wetlands (inland) - Geothermal wetlands,TRUE,FALSE,FALSE,FALSE,FALSE
5.13,Wetlands (inland) - Permanent inland deltas,TRUE,FALSE,FALSE,FALSE,FALSE
5.14,"Wetlands (inland) - Permanent saline, brackish or alkaline lakes",TRUE,FALSE,FALSE,FALSE,FALSE
5.15,"Wetlands (inland) - Seasonal/intermittent saline, brackish or alkaline lakes and flats",TRUE,FALSE,FALSE,FALSE,FALSE
5.16,"Wetlands (inland) - Permanent saline, brackish or alkaline marshes/pools",TRUE,FALSE,FALSE,FALSE,FALSE
5.17,"Wetlands (inland) - Seasonal/intermittent saline, brackish or alkaline marshes/pools",TRUE,FALSE,FALSE,FALSE,FALSE
5.18,Wetlands (inland) - Karst and other subterranean hydrological systems (inland),TRUE,FALSE,FALSE,FALSE,FALSE
6,"Rocky Areas (e.g., inland cliffs, mountain peaks)",TRUE,FALSE,FALSE,FALSE,FALSE
7,Caves & Subterranean Habitats (non-aquatic),TRUE,FALSE,FALSE,FALSE,FALSE
7.1,Caves and Subterranean Habitats (non-aquatic) - Caves,TRUE,FALSE,FALSE,FALSE,FALSE
7.2,Caves and Subterranean Habitats (non-aquatic) - Other subterranean habitats,TRUE,FALSE,FALSE,FALSE,FALSE
8,Desert,TRUE,FALSE,FALSE,FALSE,FALSE
8.1,Desert - Hot,TRUE,FALSE,FALSE,FALSE,FALSE
8.2,Desert - Temperate,TRUE,FALSE,FALSE,FALSE,FALSE
8.3,Desert - Cold,TRUE,FALSE,FALSE,FALSE,FALSE
9,Marine Neritic,FALSE,TRUE,FALSE,FALSE,FALSE
9.1,Marine Neritic - Pelagic,FALSE,TRUE,FALSE,FALSE,FALSE
9.2,Marine Neritic - Subtidal rock and rocky reefs,FALSE,TRUE,FALSE,FALSE,FALSE
