"id_no","taxonid","scientific_name","kingdom","phylum","class","order","family","genus","main_common_name","authority","published_year","assessment_date","category","criteria","population_trend","marine_system","freshwater_system","terrestrial_system","assessor","reviewer","aoo_km2","eoo_km2","elevation_upper","elevation_lower","depth_upper","depth_lower","errata_flag","errata_reason","amended_flag","amended_reason"
204,204,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,19.3031211853027,331.048516845703,NA,NA,NA,NA,NA,NA
224,224,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,202.385827636719,855.586401367188,NA,NA,NA,NA,NA,NA
550,550,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,182.921514892578,912.51923828125,NA,NA,NA,NA,NA,NA
799,799,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,103.49147644043,450.377655029297,NA,NA,NA,NA,NA,NA
964,964,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,435.889410400391,1030.549609375,NA,NA,NA,NA,NA,NA
1164,1164,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,212.206167602539,872.700598144531,NA,NA,NA,NA,NA,NA
2102,2102,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,283.979998779297,933.905224609375,NA,NA,NA,NA,NA,NA
2454,2454,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,365.928399658203,931.207019042969,NA,NA,NA,NA,NA,NA
2529,2529,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,302.252087402344,958.83603515625,NA,NA,NA,NA,NA,NA
2609,2609,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,135.254364013672,699.036889648438,NA,NA,NA,NA,NA,NA
2614,2614,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,436.630444335938,952.441516113281,NA,NA,NA,NA,NA,NA
2680,2680,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,212.350564575195,839.061145019531,NA,NA,NA,NA,NA,NA
3016,3016,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,266.950433349609,966.706274414063,NA,NA,NA,NA,NA,NA
3888,3888,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,517.242993164062,1071.18293457031,NA,NA,NA,NA,NA,NA
4082,4082,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,360.853381347656,989.7333984375,NA,NA,NA,NA,NA,NA
4198,4198,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,705.505932617187,1148.15910644531,NA,NA,NA,NA,NA,NA
4422,4422,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,261.108709716797,1142.49614257813,NA,NA,NA,NA,NA,NA
4942,4942,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,290.964215087891,919.219543457031,NA,NA,NA,NA,NA,NA
5122,5122,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,344.487451171875,962.524719238281,NA,NA,NA,NA,NA,NA
5167,5167,"Simulus spp. 204",NA,NA,NA,NA,NA,"Simulus",NA,NA,NA,NA,"EN",NA,NA,"false","false","true",NA,NA,NA,NA,192.800234985352,894.214855957031,NA,NA,NA,NA,NA,NA
